Date,Weight2
2022-01-01,69.00
2022-01-02,69.00
2022-01-03,69.00
2022-01-04,69.00
2022-01-05,67.90
2022-01-06,67.50
2022-01-07,67.50
2022-01-08,67.40
2022-01-09,67.30
2022-01-10,66.90
2022-01-11,67.00
2022-01-12,67.10
2022-01-13,66.90
2022-01-14,67.10
2022-01-15,67.00
2022-01-16,66.90
2022-01-17,66.50
2022-01-18,66.40
2022-01-19,66.90
2022-01-20,67.00
2022-01-21,66.90
2022-01-22,66.60
2022-01-23,66.60
2022-01-24,66.40
2022-01-25,66.40
2022-01-26,66.40
2022-01-27,66.40
2022-01-28,66.30
2022-01-29,66.20
2022-01-30,65.90
2022-01-31,65.90
2022-02-01,66.00
2022-02-02,66.30
2022-02-03,66.20
2022-02-04,66.20
2022-02-05,66.10
2022-02-06,66.20
2022-02-07,66.20
2022-02-08,66.80
2022-02-09,66.20
2022-02-10,66.50
2022-02-11,66.50
2022-02-12,66.90
2022-02-13,66.50
2022-02-14,66.30
2022-02-15,66.20
2022-02-16,65.70
2022-02-17,66.10
2022-02-18,64.70
2022-02-19,64.90
2022-02-20,65.10
2022-02-21,65.00
2022-02-22,65.20
2022-02-23,65.10
2022-02-24,65.10
2022-02-25,65.10
2022-02-26,65.20
2022-02-27,65.50
2022-02-28,65.20
2022-03-01,64.80
2022-03-02,65.50
2022-03-03,65.80
2022-03-04,65.80
2022-03-05,65.60
2022-03-06,65.60
2022-03-07,65.30
2022-03-08,65.60
2022-03-09,65.70
2022-03-10,66.10
2022-03-11,65.80
2022-03-12,65.70
2022-03-13,65.60
2022-03-14,65.40
2022-03-15,65.60
2022-03-16,65.60
2022-03-17,66.10
2022-03-18,66.10
2022-03-19,65.60
2022-03-20,65.70
2022-03-21,65.60
2022-03-22,65.20
2022-03-23,65.10
2022-03-24,65.00
2022-03-25,65.20
2022-03-26,65.50
2022-03-27,65.40
2022-03-28,65.20
2022-03-29,65.60
2022-03-30,65.40
2022-03-31,65.40
2022-04-01,65.50
2022-04-02,65.10
2022-04-03,65.10
2022-04-04,65.10
2022-04-05,65.10
2022-04-06,65.10
2022-04-07,65.10
2022-04-08,65.10
2022-04-09,65.10
2022-04-10,64.90
2022-04-11,65.00
2022-04-12,65.40
2022-04-13,65.20
2022-04-14,65.30
2022-04-15,65.10
2022-04-16,64.70
2022-04-17,64.40
2022-04-18,64.70
2022-04-19,64.50
2022-04-20,64.20
2022-04-21,64.00
2022-04-22,64.30
2022-04-23,64.50
2022-04-24,64.90
2022-04-25,64.30
2022-04-26,64.50
2022-04-27,64.70
2022-04-28,64.40
2022-04-29,64.50
2022-04-30,63.90
2022-05-01,63.80
2022-05-02,63.80
2022-05-03,63.40
2022-05-04,63.80
2022-05-05,63.60
2022-05-06,63.60
2022-05-07,64.20
2022-05-08,63.80
2022-05-09,63.90
2022-05-10,63.90
2022-05-11,63.80
2022-05-12,64.10
2022-05-13,63.80
2022-05-14,63.70
2022-05-15,63.40
2022-05-16,63.40
2022-05-17,63.20
2022-05-18,63.20
2022-05-19,63.60
2022-05-20,63.70
2022-05-21,63.60
2022-05-22,64.50
2022-05-23,63.80
2022-05-24,63.80
2022-05-25,63.80
2022-05-26,63.80
2022-05-27,63.80
2022-05-28,63.80
2022-05-29,63.80
2022-05-30,63.80
2022-05-31,63.80
2022-06-01,63.80
2022-06-02,62.90
2022-06-03,63.10
2022-06-04,63.30
2022-06-05,63.10
2022-06-06,63.80
2022-06-07,63.40
2022-06-08,62.90
2022-06-09,62.60
2022-06-10,62.70
2022-06-11,62.70
2022-06-12,62.90
2022-06-13,62.60
2022-06-14,62.60
2022-06-15,63.00
2022-06-16,63.00
2022-06-17,63.40
2022-06-18,63.30
2022-06-19,63.50
2022-06-20,63.60
2022-06-21,63.40
2022-06-22,63.20
2022-06-23,62.90
2022-06-24,62.90
2022-06-25,62.90
2022-06-26,62.90
2022-06-27,62.60
2022-06-28,62.60
2022-06-29,62.20
2022-06-30,62.10
2022-07-01,62.80
2022-07-02,62.80
2022-07-03,62.80
2022-07-04,62.80
2022-07-05,62.80
2022-07-06,62.80
2022-07-07,62.80
2022-07-08,61.50
2022-07-09,61.50
2022-07-10,61.80
2022-07-11,61.90
2022-07-12,62.40
2022-07-13,62.40
2022-07-14,62.50
2022-07-15,62.20
2022-07-16,62.00
2022-07-17,62.30
2022-07-18,62.30
2022-07-19,62.30
2022-07-20,62.30
2022-07-21,62.30
2022-07-22,62.30
2022-07-23,62.30
2022-07-24,62.30
2022-07-25,62.30
2022-07-26,62.30
2022-07-27,62.30
2022-07-28,62.30
2022-07-29,62.30
2022-07-30,62.30
2022-07-31,62.30
2022-08-01,62.30
2022-08-02,62.30
2022-08-03,62.30
2022-08-04,62.30
2022-08-05,62.30
2022-08-06,62.30
2022-08-07,62.30
2022-08-08,62.30
2022-08-09,62.30
2022-08-10,62.30
2022-08-11,62.30
2022-08-12,62.30
2022-08-13,62.30
2022-08-14,62.30
2022-08-15,62.30
2022-08-16,62.30
2022-08-17,62.30
2022-08-18,61.90
2022-08-19,61.40
2022-08-20,60.80
2022-08-21,60.80
2022-08-22,60.80
2022-08-23,61.40
2022-08-24,61.50
2022-08-25,61.90
2022-08-26,61.70
2022-08-27,61.80
2022-08-28,61.60
2022-08-29,61.20
2022-08-30,61.20
2022-08-31,61.60
2022-09-01,61.10
2022-09-02,61.00
